number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_grow_policy,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,params_tree_method,state
55,0.7389881518974316,2026-04-16 13:55:28.157544,2026-04-16 13:55:28.735879,0 days 00:00:00.578335,0.8913150860834561,4.6803394201915145,depthwise,0.05601949748301211,3,2.0672837468093435,1850,0.03100811596731905,0.0034723830225929834,0.761248851459961,hist,COMPLETE
56,0.7380395853174373,2026-04-16 13:55:28.736029,2026-04-16 13:55:29.256726,0 days 00:00:00.520697,0.8725368678040928,4.712876357327101,depthwise,0.0882933580980165,2,2.5616013706012026,1700,0.12591187865473957,0.0010023646481593699,0.7904373205808546,hist,COMPLETE
57,0.766277105686563,2026-04-16 13:55:29.256885,2026-04-16 13:55:29.842480,0 days 00:00:00.585595,0.8888308499383828,3.3852188714465843,depthwise,0.05270515334852616,1,1.8046796045738307,1900,0.03386431295819452,0.010470852224247634,0.7816427478011301,hist,COMPLETE
58,0.7756864998393166,2026-04-16 13:55:29.842630,2026-04-16 13:55:30.416073,0 days 00:00:00.573443,0.8745082210969417,3.607185684850466,depthwise,0.05318527668444416,1,1.4527438105957384,1900,0.002700977710454625,0.010344501798204843,0.7825772733840366,hist,COMPLETE
59,0.7841176002301324,2026-04-16 13:55:30.416229,2026-04-16 13:55:31.023231,0 days 00:00:00.607002,0.8750713438147452,3.363982995516394,depthwise,0.051472961616178634,1,1.4797929500981422,2000,0.009809524887608006,0.010434533479238879,0.782370263562452,hist,COMPLETE
60,0.7799130720319021,2026-04-16 13:55:31.023389,2026-04-16 13:55:31.628728,0 days 00:00:00.605339,0.8615763020073226,3.439718863954174,depthwise,0.052089086640389366,1,1.4962776217885962,2000,0.002781770040509706,0.010132118640814296,0.7827314594627371,hist,COMPLETE
61,0.7663038354594971,2026-04-16 13:55:31.628886,2026-04-16 13:55:32.229054,0 days 00:00:00.600168,0.8732785807420604,3.625559038474945,depthwise,0.05287289413900731,1,1.4866937281268855,2000,0.002360118236996097,0.010721591325705744,0.7802589048014887,hist,COMPLETE
62,0.7750825991439585,2026-04-16 13:55:32.229204,2026-04-16 13:55:32.843507,0 days 00:00:00.614303,0.8618848661962976,3.6379452397425363,depthwise,0.038611779647013414,1,1.4743767512923978,2000,0.0027470086490860987,0.010490205853269163,0.7798432883579114,hist,COMPLETE
63,0.7797505449658587,2026-04-16 13:55:32.843661,2026-04-16 13:55:33.444025,0 days 00:00:00.600364,0.8643514727392564,3.6263871703321455,depthwise,0.03860678429577569,1,1.4457811298308636,1975,0.0027992248150422307,0.008175624564417078,0.7800782786517425,hist,COMPLETE
64,0.7867118431298687,2026-04-16 13:55:33.444174,2026-04-16 13:55:34.054012,0 days 00:00:00.609838,0.862101427654183,3.6952175111838015,depthwise,0.03479378690570106,1,1.4524942241296213,2000,0.0029969874416334095,0.009414124338976749,0.739414896802715,hist,COMPLETE
